
央卫,#genre#
CCTV7,http://live2.rxip.sc96655.com/live/CCTV-7H265_4000.m3u8?E=1705159521&U=8ef008e8-6af1-4126-88d6-ab2793cb12da&A=1&K=9&P=011&S=10bd15e08aa7c4de538b767ae2618279a6213e3e
CCTV8,http://live2.rxip.sc96655.com/live/CCTV-8H265_4000.m3u8?E=1705159521&U=8ef008e8-6af1-4126-88d6-ab2793cb12da&A=1&K=9&P=011&S=10bd15e08aa7c4de538b767ae2618279a6213e3e
CCTV9,http://live2.rxip.sc96655.com/live/CCTV-9H265_4000.m3u8?E=1705159521&U=8ef008e8-6af1-4126-88d6-ab2793cb12da&A=1&K=9&P=011&S=10bd15e08aa7c4de538b767ae2618279a6213e3e
CCTV10,http://live2.rxip.sc96655.com/live/CCTV-10H265_4000.m3u8?E=1705159521&U=8ef008e8-6af1-4126-88d6-ab2793cb12da&A=1&K=9&P=011&S=10bd15e08aa7c4de538b767ae2618279a6213e3e
CCTV11,http://live2.rxip.sc96655.com/live/CCTV-11-H265_4000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
CCTV12,http://live2.rxip.sc96655.com/live/CCTV-12H265_4000.m3u8?E=1705159521&U=8ef008e8-6af1-4126-88d6-ab2793cb12da&A=1&K=9&P=011&S=10bd15e08aa7c4de538b767ae2618279a6213e3e
CCTV13,http://live2.rxip.sc96655.com/live/CCTV-xw_4000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
CCTV14,http://live2.rxip.sc96655.com/live/CCTV-14H265_4000.m3u8?E=1705159521&U=8ef008e8-6af1-4126-88d6-ab2793cb12da&A=1&K=9&P=011&S=10bd15e08aa7c4de538b767ae2618279a6213e3e
CCTV15,http://live2.rxip.sc96655.com/live/CCTV-15-yyH265_4000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
CCTV16,http://live2.rxip.sc96655.com/live/CCTV-16_4000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
CCTV17,http://live2.rxip.sc96655.com/live/CCTV-17_4000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
峨眉4K,http://live2.rxip.sc96655.com/live/emdy4k_8000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
动漫秀场,http://live2.rxip.sc96655.com/live/yybb-dmxc-H265_4000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
都市剧场,http://live2.rxip.sc96655.com/live/yxfydsjcHDH265_4000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
财富天下,http://live2.rxip.sc96655.com/live/cftx_4000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
金鹰纪实,http://live2.rxip.sc96655.com/live/jyjsHDH265_4000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
金鹰卡通,http://live2.rxip.sc96655.com/live/jykt_2000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
快乐垂钓,http://live2.rxip.sc96655.com/live/fyzqklcdHDH265_4000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
乐游频道,http://live2.rxip.sc96655.com/live/qjs-HDH265_4000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
梨园频道,http://live2.rxip.sc96655.com/live/ly_4000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
生活时尚,http://live2.rxip.sc96655.com/live/shssH265_4000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
四海钓鱼,http://live2.rxip.sc96655.com/live/shdy_4000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
天元围棋,http://live2.rxip.sc96655.com/live/tywq_2000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
武术世界,http://live2.rxip.sc96655.com/live/wssj_4000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
中文频道,http://live2.rxip.sc96655.com/live/test1_4000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
资讯频道,http://live2.rxip.sc96655.com/live/test2_4000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
新视觉HD,http://live2.rxip.sc96655.com/live/ycxsjH265_4000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
劲爆体育,http://live2.rxip.sc96655.com/live/lqhxjcHDH265_4000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
四川卫视,http://live2.rxip.sc96655.com/live/scwsH265_4000.m3u8?E=1705159521&U=8ef008e8-6af1-4126-88d6-ab2793cb12da&A=1&K=9&P=011&S=
四川新闻,http://live2.rxip.sc96655.com/live/SCTV-4H265_4000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
四川乡村,http://live2.rxip.sc96655.com/live/SCTV-kjSCTV-9-_4000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
四川科教,http://live2.rxip.sc96655.com/live/SCTV-ggSCTV-8_4000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
峨眉电影,http://live2.rxip.sc96655.com/live/emdygqH265_4000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
北京卫视,http://live2.rxip.sc96655.com/live/bjwsH265_4000.m3u8?E=1705159521&U=8ef008e8-6af1-4126-88d6-ab2793cb12da&A=1&K=9&P=011&S=
湖南卫视,http://live2.rxip.sc96655.com/live/hnwsH265_4000.m3u8?E=1705159521&U=8ef008e8-6af1-4126-88d6-ab2793cb12da&A=1&K=9&P=011&S=
湖北卫视,http://live2.rxip.sc96655.com/live/hbwsH265_4000.m3u8?E=1705159521&U=8ef008e8-6af1-4126-88d6-ab2793cb12da&A=1&K=9&P=011&S=
天津卫视,http://live2.rxip.sc96655.com/live/tjwsH265_4000.m3u8?E=1705159521&U=8ef008e8-6af1-4126-88d6-ab2793cb12da&A=1&K=9&P=011&S=
安徽卫视,http://live2.rxip.sc96655.com/live/ahwsH265_4000.m3u8?E=1705159521&U=8ef008e8-6af1-4126-88d6-ab2793cb12da&A=1&K=9&P=011&S=
广东卫视,http://live2.rxip.sc96655.com/live/gdwsH265_4000.m3u8?E=1705159521&U=8ef008e8-6af1-4126-88d6-ab2793cb12da&A=1&K=9&P=011&S=
江苏卫视,http://live2.rxip.sc96655.com/live/jswsH265_4000.m3u8?E=1705159521&U=8ef008e8-6af1-4126-88d6-ab2793cb12da&A=1&K=9&P=011&S=
浙江卫视,http://live2.rxip.sc96655.com/live/zjwsH265_4000.m3u8?E=1705159521&U=8ef008e8-6af1-4126-88d6-ab2793cb12da&A=1&K=9&P=011&S=
东方卫视,http://live2.rxip.sc96655.com/live/dfwsH265_4000.m3u8?E=1705159521&U=8ef008e8-6af1-4126-88d6-ab2793cb12da&A=1&K=9&P=011&S=
山东卫视,http://live2.rxip.sc96655.com/live/sdwsH265_4000.m3u8?E=1705159521&U=8ef008e8-6af1-4126-88d6-ab2793cb12da&A=1&K=9&P=011&S=
深圳卫视,http://live2.rxip.sc96655.com/live/szwsH265_4000.m3u8?E=1705159521&U=8ef008e8-6af1-4126-88d6-ab2793cb12da&A=1&K=9&P=011&S=
重庆卫视,http://live2.rxip.sc96655.com/live/cqwsH265_4000.m3u8?E=1705159521&U=8ef008e8-6af1-4126-88d6-ab2793cb12da&A=1&K=9&P=011&S=
贵州卫视,http://live2.rxip.sc96655.com/live/gzwsH265_4000.m3u8?E=1705159521&U=8ef008e8-6af1-4126-88d6-ab2793cb12da&A=1&K=9&P=011&S=
江西卫视,http://live2.rxip.sc96655.com/live/jxwsH265_4000.m3u8?E=1705159521&U=8ef008e8-6af1-4126-88d6-ab2793cb12da&A=1&K=9&P=011&S=
吉林卫视,http://live2.rxip.sc96655.com/live/jlwsH265_4000.m3u8?E=1705159521&U=8ef008e8-6af1-4126-88d6-ab2793cb12da&A=1&K=9&P=011&S=
黑龙江卫视,http://live2.rxip.sc96655.com/live/hljwsH265_4000.m3u8?E=1705159521&U=8ef008e8-6af1-4126-88d6-ab2793cb12da&A=1&K=9&P=011&S=
东南卫视,http://live2.rxip.sc96655.com/live/dnwsfjwsH265_4000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
广西卫视,http://live2.rxip.sc96655.com/live/gxws_4000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
海南卫视,http://live2.rxip.sc96655.com/live/hnws_4000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
河南卫视,http://live2.rxip.sc96655.com/live/hnws35_4000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
康巴卫视,http://live2.rxip.sc96655.com/live/kbwsH264_2000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
辽宁卫视,http://live2.rxip.sc96655.com/live/lnwsHDH264_4000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
内蒙古卫视,http://live2.rxip.sc96655.com/live/nmgws_4000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
山西卫视,http://live2.rxip.sc96655.com/live/sxws42_4000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
陕西卫视,http://live2.rxip.sc96655.com/live/sxws_4000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
西藏卫视,http://live2.rxip.sc96655.com/live/xzwsH264_2000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
兵团频道,http://live2.rxip.sc96655.com/live/btws_4000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
CETV1,http://live2.rxip.sc96655.com/live/CETV-1H264_4000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
CETV4,http://live2.rxip.sc96655.com/live/CETV-4H264_2000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
BRTV少儿,http://live2.rxip.sc96655.com/live/kkkt_4000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
CCTV1,http://121.57.88.206:898/hls/1/index.m3u8
CCTV2,http://121.57.88.206:898/hls/2/index.m3u8
CCTV3,http://121.57.88.206:898/hls/3/index.m3u8
CCTV4,http://121.57.88.206:898/hls/4/index.m3u8
CCTV5,http://121.57.88.206:898/hls/5/index.m3u8
CCTV5+,http://121.57.88.206:898/hls/18/index.m3u8
CCTV6,http://121.57.88.206:898/hls/6/index.m3u8
CCTV7,http://121.57.88.206:898/hls/7/index.m3u8
CCTV8,http://121.57.88.206:898/hls/8/index.m3u8
CCTV9,http://121.57.88.206:898/hls/9/index.m3u8
CCTV10,http://121.57.88.206:898/hls/10/index.m3u8
CCTV11,http://121.57.88.206:898/hls/11/index.m3u8
CCTV12,http://gslbserv.itv.cmvideo.cn:80/5325631075193490169/1.m3u8?channel-id=ystenlive&Contentid=5325631075193490169&livemode=1&stbId=toShengfen&mode=1
CCTV13,http://gslbserv.itv.cmvideo.cn:80/6918130250570453526/1.m3u8?channel-id=ystenlive&Contentid=6918130250570453526&livemode=1&stbId=toShengfen&mode=1
CCTV14,http://gslbserv.itv.cmvideo.cn:80/6113730085955692619/1.m3u8?channel-id=wasusyt&Contentid=6113730085955692619&livemode=1&stbId=toShengfen&mode=1
CCTV15,http://61.145.242.11:9088/hls/15/index.m3u8
CCTV16,http://121.57.88.206:898/hls/16/index.m3u8
CCTV17,http://121.57.88.206:898/hls/17/index.m3u8
湖南卫视,http://222.90.21.30:9901/hls/18/index.m3u8
东方卫视,http://222.90.21.30:9901/hls/20/index.m3u8
浙江卫视,http://222.90.21.30:9901/hls/21/index.m3u8
广东卫视,http://222.90.21.30:9901/hls/22/index.m3u8
北京卫视,http://222.90.21.30:9901/hls/23/index.m3u8
江苏卫视,http://222.90.21.30:9901/hls/24/index.m3u8
深圳卫视,http://221.226.51.220:50081/newlive/live/hls/32/live.m3u8
湖北卫视,http://222.90.21.30:9901/hls/19/index.m3u8
安徽卫视,http://222.90.21.30:9901/hls/25/index.m3u8
山东卫视,http://222.90.21.30:9901/hls/26/index.m3u8
金鹰纪实,http://222.90.21.30:9901/hls/27/index.m3u8
黑龙江卫视,http://222.90.21.30:9901/hls/28/index.m3u8
重庆卫视,http://222.90.21.30:9901/hls/29/index.m3u8
东南卫视,http://222.90.21.30:9901/hls/30/index.m3u8
河南卫视,http://222.90.21.30:9901/hls/31/index.m3u8
山西卫视,http://222.90.21.30:9901/hls/32/index.m3u8
贵州卫视,http://222.90.21.30:9901/hls/34/index.m3u8
吉林卫视,http://222.90.21.30:9901/hls/35/index.m3u8
甘肃卫视,http://222.90.21.30:9901/hls/36/index.m3u8
海南卫视,http://222.90.21.30:9901/hls/37/index.m3u8
辽宁卫视,http://222.90.21.30:9901/hls/38/index.m3u8
辽宁卫视,http://222.90.21.30:9901/hls/39/index.m3u8
内蒙古卫视,http://222.90.21.30:9901/hls/40/index.m3u8
新疆卫视,http://222.90.21.30:9901/hls/41/index.m3u8
青海卫视,http://222.90.21.30:9901/hls/42/index.m3u8
天津卫视,http://222.90.21.30:9901/hls/43/index.m3u8
河北卫视,http://222.90.21.30:9901/hls/44/index.m3u8
四川卫视,http://222.90.21.30:9901/hls/45/index.m3u8
陕西卫视,http://222.90.21.30:9901/hls/46/index.m3u8
影迷,http://222.90.21.30:9901/hls/55/index.m3u8
凤凰资讯,http://222.90.21.30:9901/hls/58/index.m3u8
CHC动作电影,http://222.90.21.30:9901/hls/59/index.m3u8
CHC影迷电影,http://222.90.21.30:9901/hls/60/index.m3u8
嘉佳卡通,http://222.90.21.30:9901/hls/62/index.m3u8
兵团卫视,http://222.90.21.30:9901/hls/65/index.m3u8
农林卫视,http://222.90.21.30:9901/hls/66/index.m3u8
延边卫视,http://222.90.21.30:9901/hls/67/index.m3u8
厦门卫视,http://222.90.21.30:9901/hls/68/index.m3u8
重庆卫视,http://222.90.21.30:9901/hls/69/index.m3u8
都市青春,http://222.90.21.30:9901/hls/70/index.m3u8
陕西银龄,http://222.90.21.30:9901/hls/71/index.m3u8
陕西新闻,http://222.90.21.30:9901/hls/72/index.m3u8
农林卫视,http://222.90.21.30:9901/hls/73/index.m3u8
陕西体育,http://222.90.21.30:9901/hls/74/index.m3u8
西部电影,http://222.90.21.30:9901/hls/75/index.m3u8
西藏卫视,http://222.90.21.30:9901/hls/90/index.m3u8
内蒙少儿,http://121.57.88.206:898/hls/40/index.m3u8
天津卫视,http://221.226.51.220:50081/newlive/live/hls/26/live.m3u8$1080p
贵州卫视,http://221.226.51.220:50081/newlive/live/hls/35/live.m3u8$1080p
云南卫视,http://221.226.51.220:50081/newlive/live/hls/33/live.m3u8$1080p
广西卫视,http://221.226.51.220:50081/newlive/live/hls/25/live.m3u8$1080p
黑龙江卫视,http://221.226.51.220:50081/newlive/live/hls/31/live.m3u8$1080p
安徽卫视,http://221.226.51.220:50081/newlive/live/hls/36/live.m3u8$1080p
湖南卫视,http://221.226.51.220:50081/newlive/live/hls/29/live.m3u8$1080p
广东卫视,http://221.226.51.220:50081/newlive/live/hls/30/live.m3u8$1080p
河南卫视,http://221.226.51.220:50081/newlive/live/hls/37/live.m3u8$1080p
三沙卫视,http://221.226.51.220:50081/newlive/live/hls/38/live.m3u8$1080p
CCTV1,http://58.17.89.7:8081/hls/1/index.m3u8
CCTV2,http://58.17.89.7:8081/hls/2/index.m3u8
CCTV3,http://58.17.89.7:8081/hls/3/index.m3u8
CCTV4,http://58.17.89.7:8081/hls/4/index.m3u8
CCTV5,http://58.17.89.7:8081/hls/5/index.m3u8
CCTV5+,http://58.17.89.7:8081/hls/6/index.m3u8
CCTV6,http://58.17.89.7:8081/hls/7/index.m3u8
CCTV7,http://58.17.89.7:8081/hls/8/index.m3u8
CCTV8,http://58.17.89.7:8081/hls/9/index.m3u8
CCTV9,http://58.17.89.7:8081/hls/10/index.m3u8
CCTV10,http://58.17.89.7:8081/hls/11/index.m3u8
CCTV11,http://58.17.89.7:8081/hls/12/index.m3u8
CCTV12,http://58.17.89.7:8081/hls/13/index.m3u8
CCTV13,http://58.17.89.7:8081/hls/14/index.m3u8
CCTV14,http://58.17.89.7:8081/hls/15/index.m3u8
CCTV16,http://58.17.89.7:8081/hls/17/index.m3u8
CCTV15,http://58.17.89.7:8081/hls/16/index.m3u8
CCTV1,http://192.151.150.154/live/cctv1hd.m3u8
CCTV2,http://192.151.150.154/live/cctv2hd.m3u8
CCTV3,http://192.151.150.154/live/cctv3hd.m3u8
CCTV4,http://192.151.150.154/live/cctv4hd.m3u8
CCTV5,http://192.151.150.154/live/cctv5hd.m3u8
CCTV5+,http://192.151.150.154/live/cctv5p.m3u8
CCTV6,http://192.151.150.154/live/cctv6hd.m3u8
CCTV7,http://192.151.150.154/live/cctv7hd.m3u8
CCTV8,http://192.151.150.154/live/cctv8hd.m3u8
CCTV9,http://192.151.150.154/live/cctv9hd.m3u8
CCTV10,http://192.151.150.154/live/cctv10hd.m3u8
CCTV11,http://192.151.150.154/live/cctv11hd.m3u8
CCTV12,http://192.151.150.154/live/cctv12hd.m3u8
CCTV13,http://192.151.150.154/live/cctv13hd.m3u8
CCTV14,http://192.151.150.154/live/cctv14hd.m3u8
CCTV15,http://192.151.150.154/live/cctv15hd.m3u8
CCTV16,http://192.151.150.154/live/cctv16hd.m3u8
CCTV17,http://192.151.150.154/live/cctv17hd.m3u8
CCTV4K超高清,http://192.151.150.154/live/cctv4k.m3u8
CCTV8K超高清,http://192.151.150.154/live/cctv8k.m3u8
CCTV-电视指南,http://192.151.150.154/live/dszn.m3u8
CCTV-第一剧场,http://192.151.150.154/live/dyjc.m3u8
CCTV-风云剧场,http://192.151.150.154/live/fyjc.m3u8
CCTV-风云音乐,http://192.151.150.154/live/fyyy.m3u8
CCTV-风云足球,http://192.151.150.154/live/fyzq.m3u8
CCTV-高尔夫网球,http://192.151.150.154/live/gefwq.m3u8
CCTV-兵器科技,http://192.151.150.154/live/gfjs.m3u8
CCTV-女性时尚,http://192.151.150.154/live/nxss.m3u8
CCTV-世界地理,http://192.151.150.154/live/sjdl.m3u8
CCTV-怀旧剧场,http://192.151.150.154/live/hjjc.m3u8
CCTV-央视台球,http://192.151.150.154/live/ystq.m3u8
CCTV-央视文化精品,http://192.151.150.154/live/ysjp.m3u8
CCTV-卫生健康,http://192.151.150.154/live/wsjk.m3u8
中央新影-老故事,http://192.151.150.154/live/lgs.m3u8
中央新影-发现之旅,http://192.151.150.154/live/fxzl.m3u8
国学频道,http://192.151.150.154/live/gxpd.m3u8
天元围棋,http://192.151.150.154/live/gztywq.m3u8
优漫卡通,http://192.151.150.154/live/ymkt.m3u8
卡酷少儿,http://192.151.150.154/live/btvkk.m3u8
湖南卫视,http://192.151.150.154/live/hnwshd.m3u8
东方卫视,http://192.151.150.154/live/dfwshd.m3u8
江苏卫视,http://192.151.150.154/live/jswshd.m3u8
深圳卫视,http://192.151.150.154/live/szwshd.m3u8
北京卫视,http://192.151.150.154/live/bjwshd.m3u8
CHC动作电影,http://192.151.150.154/live/chcdz.m3u8
CHC影迷电影,http://192.151.150.154/live/chchd.m3u8
CHC家庭影院,http://192.151.150.154/live/chcjt.m3u8
安徽卫视,http://192.151.150.154/live/ahwshd.m3u8
兵团卫视,http://192.151.150.154/live/btws.m3u8
重庆卫视,http://192.151.150.154/live/cqwshd.m3u8
大湾区卫视,http://192.151.150.154/live/nfws.m3u8
东南卫视,http://192.151.150.154/live/dnwshd.m3u8
广东卫视,http://192.151.150.154/live/gdwshd.m3u8
甘肃卫视,http://192.151.150.154/live/gswshd.m3u8
广西卫视,http://192.151.150.154/live/gxwshd.m3u8
贵州卫视,http://192.151.150.154/live/gzwshd.m3u8
河南卫视,http://192.151.150.154/live/hawshd.m3u8
湖北卫视,http://192.151.150.154/live/hbwshd.m3u8
河北卫视,http://192.151.150.154/live/hewshd.m3u8
黑龙江卫视,http://192.151.150.154/live/hljwshd.m3u8
吉林卫视,http://192.151.150.154/live/jlwshd.m3u8
江西卫视,http://192.151.150.154/live/jxwshd.m3u8
辽宁卫视,http://192.151.150.154/live/lnwshd.m3u8
内蒙古卫视,http://192.151.150.154/live/nmgws.m3u8
宁夏卫视,http://192.151.150.154/live/nxws.m3u8
青海卫视,http://192.151.150.154/live/qhws.m3u8
四川卫视,http://192.151.150.154/live/scwshd.m3u8
山东卫视,http://192.151.150.154/live/sdwshd.m3u8
陕西卫视,http://192.151.150.154/live/snwshd.m3u8
三沙卫视,http://192.151.150.154/live/ssws.m3u8
山西卫视,http://192.151.150.154/live/sxwshd.m3u8
天津卫视,http://192.151.150.154/live/tjwshd.m3u8
新疆卫视,http://192.151.150.154/live/xjws.m3u8
厦门卫视,http://192.151.150.154/live/xmws.m3u8
云南卫视,http://192.151.150.154/live/ynwshd.m3u8
浙江卫视,http://192.151.150.154/live/zjwshd.m3u8
中国教育3,http://192.151.150.154/live/cetv3.m3u8
嘉佳卡通,http://192.151.150.154/live/gdjjkt.m3u8
岭南戏曲,http://192.151.150.154/live/gdlnxq.m3u8
广东4K超高清,http://192.151.150.154/live/gdtvs3.m3u8
广东少儿,http://192.151.150.154/live/gdtvs5.m3u8
广东体育,http://111.221.137.234:44330/tsfile/live/0124_1.m3u8
CCTV1,http://go.bkpcp.top/mg/cctv1
CCTV2,http://go.bkpcp.top/mg/cctv2
CCTV3,http://go.bkpcp.top/mg/cctv3
CCTV4,http://go.bkpcp.top/mg/cctv4
CCTV5,http://go.bkpcp.top/mg/cctv5
CCTV5+,http://go.bkpcp.top/mg/cctv5p
CCTV6,http://go.bkpcp.top/mg/cctv6
CCTV7,http://go.bkpcp.top/mg/cctv7
CCTV8,http://go.bkpcp.top/mg/cctv8
CCTV9,http://go.bkpcp.top/mg/cctv9
CCTV10,http://go.bkpcp.top/mg/cctv10
CCTV11,http://go.bkpcp.top/mg/cctv11
CCTV12,http://go.bkpcp.top/mg/cctv12
CCTV13,http://go.bkpcp.top/mg/cctv13
CCTV14,http://go.bkpcp.top/mg/cctv14
CCTV15,http://go.bkpcp.top/mg/cctv15
CCTV16,http://go.bkpcp.top/mg/cctv16
CCTV17,http://go.bkpcp.top/mg/cctv17
cct4欧洲,http://go.bkpcp.top/mg/cctv4o
cct4美洲,http://go.bkpcp.top/mg/cctv4m
CGTN-西,http://go.bkpcp.top/mg/cgtne
CGTN-阿,http://go.bkpcp.top/mg/cgtna
CGTN-法,http://go.bkpcp.top/mg/cgtnf
北京卫视,http://go.bkpcp.top/mg/bjws
东方卫视,http://go.bkpcp.top/mg/dfws
浙江卫视,http://go.bkpcp.top/mg/zjws
江苏卫视,http://go.bkpcp.top/mg/jsws
湖南卫视,http://go.bkpcp.top/mg/hunws
广东卫视,http://go.bkpcp.top/mg/gdws
深圳卫视,http://go.bkpcp.top/mg/szws
山东卫视,http://go.bkpcp.top/mg/sdws
河南卫视,http://go.bkpcp.top/mg/hnws
江西卫视,http://go.bkpcp.top/mg/jxws
湖北卫视,http://go.bkpcp.top/mg/hubws
海南卫视,http://go.bkpcp.top/mg/hinws
陕西卫视,http://go.bkpcp.top/mg/sxws
兵团卫视,http://go.bkpcp.top/mg/btws
黑龙江视,http://go.bkpcp.top/mg/hljws
广东珠江,http://go.bkpcp.top/mg/gdzj
广东体育,http://go.bkpcp.top/mg/gdty
大湾区卫视,http://go.bkpcp.top/mg/gddwq
广东影视,http://go.bkpcp.top/mg/gdys
广东新闻,http://go.bkpcp.top/mg/gdxw
广东民生,http://go.bkpcp.top/mg/gdms
港澳台,#genre#
凤凰中文,http://bobohome.ignorelist.com:20247/fengshows?id=2.m3u8
凤凰资讯,http://bobohome.ignorelist.com:20247/fengshows?id=1.m3u8
凤凰香港,http://bobohome.ignorelist.com:20247/fengshows?id=3.m3u8
凤凰中文,http://rihou.cc:555/tv/[Pd]凤凰中文
凤凰香港,http://rihou.cc:555/tv/[SX]凤凰香港
凤凰中文,http://rihou.cc:555/tv/[Pd]凤凰中文
凤凰资讯,http://rihou.cc:555/tv/[Pd]凤凰资讯
凤凰香港,https://smt.1678520.xyz/smt3.2.1.php?id=hkphoenix_twn
凤凰中文,http://cdn6.163189.xyz/163189/fhzw
凤凰资讯,http://cdn6.163189.xyz/163189/fhzx
凤凰香港,http://cdn6.163189.xyz/163189/fhhk
翡翠台,https://cdn3.indevs.in/stream/tvb/fct4k/
